System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Source,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Training objective,Training cost (2020 USD)
Japanese dialog transformers,Language,,NTT Communication Science Laboratories,Industry,"Hiroaki Sugiyama, Masahiro Mizukami, Tsunehiro Arimoto, Hiromi Narimatsu, Yuya Chiba, Hideharu Nakajima, Toyomi Meguro",2021,2021,Empirical Analysis of Training Strategies of Transformer-based Japanese Chit-chat Systems,https://arxiv.org/pdf/2109.05217.pdf,3.20E+01,,,1.60E+09,,,2.10E+09,,,,,,,,
PCL-BAIDU Wenxin (ERNIE 3.0 Titan),Language,,Baidu,Industry,,2021,2021,,,,,,2.60E+11,,,,,,,,,,,
CLIP (ViT L/14@336px),Multimodal,Zero-shot image classification,Open AI,Industry,"Alec Radford, Jong Wook Kim, Chris Hallacy, Aditya Ramesh, Gabriel Goh, Sandhini Agarwal, Girish Sastry, Amanda Askell, Pamela Mishkin, Jack Clark, Gretchen Krueger, Ilya Sutskever",05/01/2021,2021,Learning Transferable Visual Models From Natural Language Supervision,https://arxiv.org/abs/2103.00020,1.30E+02,,,3.70E+08,1.1E+22,Custom image-text pairs from the internet,4.00E+08,,1.10E+08,86016,,,,,1.00E+06
DALL-E,Drawing,Text-to-image,OpenAI,Industry,"Aditya Ramesh, Mikhail Pavlov, Gabriel Goh, Scott Gray, Chelsea Voss, Alec Radford, Mark Chen, Ilya Sutskever",05/01/2021,2021,Zero-Shot Text-to-Image Generation,https://openai.com/blog/dall-e/,8.00E+01,,,1.20E+10,4.7E+22,,2.50E+08,,,,,,,,132000
CLIP (ResNet-50),Multimodal,Zero-shot image classification,Open AI,Industry,"Alec Radford, Jong Wook Kim, Chris Hallacy, Aditya Ramesh, Gabriel Goh, Sandhini Agarwal, Girish Sastry, Amanda Askell, Pamela Mishkin, Jack Clark, Gretchen Krueger, Ilya Sutskever",05/01/2021,2021,Learning Transferable Visual Models From Natural Language Supervision,https://arxiv.org/abs/2103.00020,1.30E+02,,,8.86E+07,,Custom image-text pairs from the internet,4.00E+08,,7.00E+06,,,,,,
Switch,Language,Text autocompletion,Google Brain,Industry,"William Fedus, Barret Zoph, Noam Shazeer",11/01/2021,2021,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,https://arxiv.org/abs/2101.03961,8.00E+01,,,1.60E+12,8.2E+22,,5.76E+11,,,,,,,,
FLAN,Language,,Google Research,Industry,"Jason Wei, Maarten Bosma, Vincent Y. Zhao, Kelvin Guu, Adams Wei Yu, Brian Lester, Nan Du, Andrew M. Dai, Quoc V. Le",12/01/2021,2021,Finetuned Language Models Are Zero-Shot Learners,https://arxiv.org/pdf/2109.01652.pdf,9.00E+00,SOTA Improvement,,1.37E+11,,,2.49E+12,,,,,,,,
Rational DQN Average,Games,Atari Games,TU Darmstadt,Academia,"Q Delfosse, P Schramowski, A Molina",18/02/2021,2021,Recurrent Rational Networks,https://arxiv.org/abs/2102.09407v1,1.00E+00,SOTA improvement,,1.68E+06,,,,,,,,,,,
Meta Pseudo Labels,,,"Google AI, Brain team",Industry,"Hieu Pham, Zihang Dai, Qizhe Xie, Minh-Thang Luong, and Quoc V. Le",01/03/2021,2021,Meta pseudo labels,https://arxiv.org/pdf/2003.10580.pdf,1.31E+02,SOTA Improvement,Scaling Vision Transformers,4.80E+08,2.1E+23,ImageNet,1.30E+08,,,,,,,,
M6-10B,Multimodal,,"Tsinghua University, Alibaba Group",Industry - Academia Collaboration (Industry leaning),"J Lin, R Men, A Yang, C Zhou, M Ding, Y Zhang",01/03/2021,2021,M6: A Chinese Multimodal Pretrainer,https://arxiv.org/abs/2103.00823,8.00E+00,,,1.00E+10,,,1.90E+12,,,,,,,,
M6-100B,Multimodal,,"Tsinghua University, Alibaba Group",Industry - Academia Collaboration (Industry leaning),"J Lin, R Men, A Yang, C Zhou, M Ding, Y Zhang",01/03/2021,2021,M6: A Chinese Multimodal Pretrainer,https://arxiv.org/abs/2103.00823,8.00E+00,,,1.00E+11,,,1.90E+12,,,,,,,,
Wu Dao - Wen Yuan,Language,,BAAI,Industry,,01/03/2021,2021,,https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,,2.60E+09,,,,,,,,,,,
Wu Dao - Wen Lan,Multimodal,,BAAI,Industry,,01/03/2021,2021,,https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,,1.00E+09,,,,,,,,,,,
Wu Dao - Wen Hui,Multimodal,,BAAI,Industry,,01/03/2021,2021,,https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,,1.13E+10,,,,,,,,,,,
Wu Dao - Wen Su,Other,Proteins,BAAI,Industry,,01/03/2021,2021,,https://medium.com/syncedreview/chinas-gpt-3-baai-introduces-superscale-intelligence-model-wu-dao-1-0-98a573fc4d70,,,,,,,,,,,,,,,
Seq2Seq,Language,,Facebook AI Research,Industry,"Stephen Roller, Emily Dinan, Naman Goyal, Da Ju, Mary Williamson, Yinhan Liu, Jing Xu, Myle Ott, Kurt Shuster, Eric M. Smith, Y-Lan Boureau, Jason Weston",05/03/2021,2021,Recipes for building an open-domain chatbot,https://arxiv.org/pdf/2004.13637.pdf,2.07E+02,SOTA Improvement,,9.40E+09,,,,,,,,,,,
M6-T,Multimodal,,Alibaba Group,Industry,"An Yang, Junyang Lin, Rui Men, Chang Zhou, Le Jiang, Xianyan Jia, Ang Wang, Jie Zhang, Jiamang Wang, Yong Li, Di Zhang, Wei Lin, Lin Qu, Jingren Zhou, Hongxia Yang",05/03/2021,2021,M6-T: Exploring Sparse Expert Models and Beyond,https://arxiv.org/pdf/2105.15082.pdf,2.00E+00,SOTA Improvement,,1.00E+12,,M6-Corpus,1.90E+12,,,,,,,,
GPT-Neo,Language,,EleutherAI,Research collective,,21/03/2021,2021,GPT-Neo,https://www.eleuther.ai/projects/gpt-neo/,,,,2.70E+09,7.9E+21,The Pile,8.86E+11,,,,,,,,
,Language,Text autocompletion,"Stanford, Microsoft Research, NVIDIA",Industry - Academia Collaboration (Industry leaning),"Deepak Narayanan, Mohammad Shoeybi, Jared Casper, Patrick LeGresley, Mostofa Patwary, Vijay Korthikanti, Dmitri Vainbrand, Prethvi Kashinkunti, Julie Bernauer, Bryan Catanzaro, Amar Phanishayee, Matei Zaharia",09/04/2021,2021,Efficient Large-Scale Language Model Training on GPU Clusters,https://arxiv.org/abs/2104.04473,7.00E+00,,,1.00E+12,,,,,,,,,,,
DLRM-12T,Recommendation,,Facebook AI,Industry,"Dheevatsa Mudigere, Yuchen Hao, Jianyu Huang, Andrew Tulloch, Srinivas Sridharan, Xing Liu, Mustafa Ozdal, Jade Nie, Jongsoo Park, Liang Luo, Jie Amy Yang, Leon Gao, Dmytro Ivchenko, Aarti Basant, Yuxi Hu, Jiyan Yang, Ehsan K. Ardestani, Xiaodong Wang, Rakesh Komuravelli, Ching-Hsiang Chu, Serhat Yilmaz, Huayu Li, Jiyuan Qian, Zhuobo Feng, Yinbin Ma, Junjie Yang, Ellie Wen, Hong Li, Lin Yang, Chonglin Sun, Whitney Zhao, Dimitry Melts, Krishna Dhulipala, KR Kishore, Tyler Graf, Assaf Eisenman, Kiran Kumar Matam, Adi Gangidi, Guoqiang Jerry Chen, Manoj Krishnan, Avinash Nayak, Krishnakumar Nair, Bharath Muthiah, Mahmoud khorashadi, Pallab Bhattacharya, Petr Lapukhov, Maxim Naumov, Lin Qiao, Mikhail Smelyanskiy, Bill Jia, Vijay Rao",12/04/2021,2021,Software-Hardware Co-design for Fast and Scalable Training of Deep Learning Recommendation Models,https://arxiv.org/abs/2104.05158,2.00E+00,,,1.20E+13,,,,,,,,,,,
PanGu-α,Language,,PanGu-α team,Industry,"Wei Zeng, Xiaozhe Ren, Teng Su, Hui Wang, Yi LiaoZhiwei WangXin JiangZhenzhang YangKaisheng WangXiaoda ZhangChen LiZiyan GongYifan YaoXinjing HuangJun WangJianfeng YuQi GuoYue YuYan ZhangJin WangHengtao TaoDasen YanZexuan YiFang PengFangqing JiangHan ZhangLingfeng DengYehong ZhangZhe LinChao ZhangShaojie ZhangMingyue GuoShanzhi GuGaojun FanYaowei WangXuefeng JinQun LiuYonghong Tian",25/04/2021,2021,PanGu-α: Large-scale Autoregressive Pretrained Chinese Language Models with Auto-parallel Computation,https://arxiv.org/abs/2104.12369,5.00E+00,,,2.07E+11,5.8E+22,Custom dataset,5.00E+11,,,,,,,,
GPT-J-6B,Language,,,Research collective,,01/05/2021,2021,,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/,,,,6.05E+09,1.5E+22,,4.00E+11,,,,,,,,
ProtT5-XXL,Other,Proteins,"Technical University of Munich, Med AI Technology, Google AI, NVIDIA, Oak Ridge National Laboratory",Industry - Academia Collaboration,"A Elnaggar, M Heinzinger, C Dallago, G Rihawi",04/05/2021,2021,ProtTrans: Towards Cracking the Language of Life’s Code Through Self-Supervised Learning,https://www.biorxiv.org/content/10.1101/2020.07.12.199554v3,5.70E+01,,,1.10E+10,7.4E+22,UniRef; BDF,3.93E+11,,,,,,,,
HyperClova,Language,,Naver Corp,Industry,,25/05/2021,2021,,https://www.navercorp.com/promotion/pressReleasesView/30546,,,,2.04E+11,6.3E+22,,5.60E+11,,,,,,,,
CogView,Drawing,Text-to-image,"Tsinghua University, DAMO academy Alibaba, BAAI",Industry - Academia Collaboration (Academia leaning),"M Ding, Z Yang, W Hong, W Zheng, C Zhou",26/05/2021,2021,CogView: Mastering Text-to-Image Generation via Transformers,https://arxiv.org/abs/2105.13290,1.00E+00,,,4.00E+09,2.7E+22,MS COCO,5.90E+15,,,,,,,,
Transformer local-attention (NesT-B),,,"Google Cloud AI, Google Research, Rutgers University",Industry - Academia Collaboration (Industry Leaning),,26/05/2021,2021,Aggregating Nested Transformers,https://arxiv.org/abs/2105.12723v2,5.73E+03,Highly cited,,,2.4E+19,Imagenet-1k,1.28E+06,,,,,,,,
Wu Dao 2.0,Multimodal,,,,,01/06/2021,2021,,https://www.engadget.com/chinas-gigantic-multi-modal-ai-is-no-one-trick-pony-211414388.html,,,,1.75E+12,,,,,,,,,,,
ViT-G/14,Vision,,"Google Research, Brain Team",Industry,"X Zhai, A Kolesnikov, N Houlsby, L Beyer",08/06/2021,2021,Scaling Vision Transformers,https://arxiv.org/abs/2106.04560,6.00E+00,,,1.80E+09,3.4E+21,JFT-3B,3.00E+09,,,,,,,,
"Denoising Diffusion Probabilistic Models (LSUN Bedroom)",Drawing,,UC Berkeley,Academia,"Jonathan Ho, Ajay Jain, Pieter Abbeel",19/06/2020,2020,Denoising Diffusion Probabilistic Models,https://arxiv.org/abs/2006.11239,1.36E+02,SOTA Improvement,,2.56E+08,1.6E+18,,3.03E+06,,,,,,,,
ALIGN,,,Google AI,Industry,"ChaoJia,YinfeiYang,YeXia,Yi-TingChen,ZaranaParekh,HieuPham,QuocV.Le,YunhsuanSung, Zhen Li, and Tom Duerig",11/06/2021,2021,Scaling up visual and vision-language representation learning with noisy text supervision,https://arxiv.org/pdf/2102.05918.pdf,7.50E+01,,Scaling Vision Transformers,8.20E+08,2.2E+23,,1.60E+09,,,,,,,,
ERNIE 3.0,Language,,Baidu Inc. ,Industry,"Y Sun, S Wang, S Feng, S Ding, C Pang",05/07/2021,2021,ERNIE 3.0: Large-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,http://research.baidu.com/Blog/index-view?id=160,1.00E+00,,,1.00E+10,2.4E+18,,4.00E+12,,,,,,,,
Codex,Language,Code autocompletion,Open AI,Industry,"Mark Chen , Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Ponde de Oliveira Pinto, Jared Kaplan, Harri Edwards, Yuri Burda, Nicholas Joseph, Greg Brockman, Alex Ray, Raul Puri, Gretchen Krueger,  Michael Petrov, Heidy Khlaaf, Girish Sastry, Pamela Mishkin, Brooke Chan, Scott Gray, Nick Ryder, Mikhail Pavlov, Alethea Power, Lukasz Kaiser, Clemens Winter, Philippe Tillet, Felipe Petroski Such, Dave Cummings, Fotios Chantzis, Elizabeth Barnes, Ariel Herbert-Voss, William Hebgen Guss, Nikolas Tezak, Jie Tang, Igor Babuschkin, Suchir Balaji,  Shantanu Jain, William Saunders, Christopher Hesse, Andrew N. Carr, Jan Leike, Josh Achiam, Vedant Misra, Evan Morikawa, Alec Radford, Matthew Knight, Miles Brundage, Mira Murati, Katie Mayer, Peter Welinder, Bob McGrew, Dario Amodei, Sam McCandlish, Ilya Sutskever, Wojciech Zaremba ",07/07/2021,2021,Evaluating Large Language Models Trained on Code,https://openai.com/blog/openai-codex/,3.52E+02,,,1.20E+10,,,1.59E+11,,,,,,,,
HuBERT,Language,,Facebook AI Research,Industry,"Wei-Ning Hsu, Benjamin Bolte, Yao-Hung Hubert Tsai, Kushal Lakhotia, Ruslan Salakhutdinov, Abdelrahman Mohamed",14/06/2021,2021,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,https://arxiv.org/abs/2106.07447,3.70E+01,SOTA Improvement,,1.00E+09,5.5E+21,LibriSpeech,6.10E+04,,,,,,,,
GOAT,Games,Open ended play,DeepMind,Industry,,27/07/2021,2021,Open-Ended Learning Leads to Generally Capable Agents,https://deepmind.com/blog/article/generally-capable-agents-emerge-from-open-ended-play,1.02E+02,,,3.50E+06,,,,,,,,,,,
SEER,Vision,,"Facebook AI Research, Inria",Industry - Academia Collaboration (Industry leaning),"Priya Goyal, Mathilde Caron, Benjamin Lefaudeux, Min Xu, Pengchao Wang, Vivek Pai, Mannat Singh, Vitaliy Liptchinsky, Ishan Misra, Armand Joulin, Piotr Bojanowski",29/07/2021,2021,Self-supervised Pretraining of Visual Features in the Wild,https://arxiv.org/pdf/2103.01988.pdf,3.90E+01,Important context,,1.30E+09,4.4E+21,,1.00E+09,,,,,,,,
Perceiver IO,Multimodal,,DeepMind,Industry,,30/07/2021,2021,Perceiver IO: A General Architecture for Structured Inputs & Outputs,https://arxiv.org/abs/2107.14795,1.04E+02,,,,,,,,,,,,,,
Jurassic-1-Jumbo,Language,,AI21 Labs,Industry,,11/08/2021,2021,Jurassic-1: Technical Details and Evaluation,https://uploads-ssl.webflow.com/60fd4503684b466578c0d307/61138924626a6981ee09caf6_jurassic_tech_paper.pdf,9.00E+00,,,1.78E+11,3.7E+23,,3.00E+11,,,,,,,,
XLMR-XXL,Language,,Facebook AI Research,Industry,"Naman Goyal, Jingfei Du, Myle Ott, Giri Anantharaman, Alexis Conneau",17/08/2021,2021,Larger-Scale Transformers for Multilingual Masked Language Modeling,https://arxiv.org/pdf/2105.00572.pdf,1.00E+00,SOTA Improvement,,1.07E+10,,CC100,1.67E+11,,,,,,,,
FLAN,Language,,Google Research,Industry,,03/09/2021,2021,Fine-tuned Language Models Are Zero-Shot Learners,https://arxiv.org/pdf/2109.01652.pdf,1.05E+02,,,,,,,,,,,,,,
MEB,Search,,Microsoft Bing,Industry,"W Liu, Z Wang, X Liu, N Zeng, Y Liu, FE Alsaadi",04/09/2021,2021,Make Every feature Binary: A 135B parameter sparse neural network for massively improved search relevance,https://www.microsoft.com/en-us/research/blog/make-every-feature-binary-a-135b-parameter-sparse-neural-network-for-massively-improved-search-relevance/,2.60E+01,,,1.35E+11,,,,,,,,,,,
M6-10T,Multimodal,,Alibaba,Industry,"Junyang Lin, An Yang, Jinze Bai, Chang Zhou, Le Jiang, Xianyan Jia, Ang Wang, Jie Zhang, Yong Li, Wei Lin, Jingren Zhou, Hongxia Yang",8/10/2021,2021,M6-10T: A Sharing-Delinking Paradigm for Efficient Multi-Trillion Parameter Pretraining,https://arxiv.org/abs/2110.03888,1.40E+01,,,1.00E+13,5.5E+21,BookCorpus; English Wikipedia,8.00E+09,,,122880,,,,,
Megatron-Turing NLG 530B,Language,,Microsoft,Industry,,11/10/2021,2021,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, the World’s Largest and Most Powerful Generative Language Model",https://www.microsoft.com/en-us/research/blog/using-deepspeed-and-megatron-to-train-megatron-turing-nlg-530b-the-worlds-largest-and-most-powerful-generative-language-model/,NA,,,5.30E+11,1.4E+24,,2.70E+11,,,,,,,,
T0-XXL,Language,,BigScience,Industry - Academia Collaboration (Industry leaning),"Victor Sanh, Albert Webson, Colin Raffel, Stephen H. Bach, Lintang Sutawika, Zaid Alyafeai, Antoine Chaffin, Arnaud Stiegler, Teven Le Scao, Arun Raja, Manan Dey, M Saiful Bari, Canwen Xu, Urmish Thakker, Shanya Sharma Sharma, Eliza Szczechla, Taewoon Kim, Gunjan Chhablani, Nihal Nayak, Debajyoti Datta, Jonathan Chang, Mike Tian-Jian Jiang, Han Wang, Matteo Manica, Sheng Shen, Zheng Xin Yong, Harshit Pandey, Rachel Bawden, Thomas Wang, Trishala Neeraj, Jos Rozen, Abheesht Sharma, Andrea Santilli, Thibault Fevry, Jason Alan Fries, Ryan Teehan, Stella Biderman, Leo Gao, Tali Bers, Thomas Wolf, Alexander M. Rush",15/10/2021,2021,Multitask Prompted Training Enables Zero-Shot Task Generalization,https://arxiv.org/abs/2110.08207,1.40E+01,,,1.10E+10,,,,,,,,,,,
Cloob,Multimodal,,"Institute for Machine Learning (JKU), IARAI Vienna, HERE Technologies",Industry - Academia Collaboration (Academia Leaning),,21/10/2021,2021,CLOOB: Modern Hopfield Networks with InfoLOOB Outperform CLIP,https://arxiv.org/abs/2110.11316,,,,,,,1.50E+07,,,,,,,,
EfficientZero,Games,,"Tsinghua University, UC Berkeley, Shanghai Qi Zhi Institute",Academia,"Weirui Ye, Shaohuai Liu, Thanard Kurutach, Pieter Abbeel, Yang Gao",30/10/2021,2021,Mastering Atari Games with Limited Data,https://arxiv.org/abs/2111.00210,6.00E+00,,,,,,,,,,,,,,
Yuan 1.0,Language,,Inspur,Industry,"Shaohua Wu, Xudong Zhao, Tong Yu, Rongguo Zhang, Chong Shen, Hongli Liu, Feng Li, Hong Zhu, Jiangang Luo, Liang Xu, Xuanwei Zhang, Jun Liu",10/11/2021,2021,Yuan 1.0: Large-Scale Pre-trained Language Model in Zero-Shot and Few-Shot Learning,https://arxiv.org/abs/2110.04725,4.00E+00,,,2.45E+11,4.1E+23,,5.00E+12,,,,,,,,
Gopher,Language,,DeepMind,Industry,"Jack W. Rae, Sebastian Borgeaud, Trevor Cai, Katie Millican, Jordan Hoffmann, Francis Song, John Aslanides, Sarah Henderson, Roman Ring, Susannah Young, Eliza Rutherford, Tom Hennigan, Jacob Menick, Albin Cassirer, Richard Powell, George van den Driessche, Lisa Anne Hendricks, Maribeth Rauh, Po-Sen Huang, Amelia Glaese, Johannes Welbl, Sumanth Dathathri, Saffron Huang, Jonathan Uesato, John Mellor, Irina Higgins, Antonia Creswell, Nat McAleese, Amy Wu, Erich Elsen, Siddhant Jayakumar, Elena Buchatskaya, David Budden, Esme Sutherland, Karen Simonyan, Michela Paganini, Laurent Sifre, Lena Martens, Xiang Lorraine Li, Adhiguna Kuncoro, Aida Nematzadeh, Elena Gribovskaya, Domenic Donato, Angeliki Lazaridou, Arthur Mensch, Jean-Baptiste Lespiau, Maria Tsimpoukelli, Nikolai Grigorev, Doug Fritz, Thibault Sottiaux, Mantas Pajarskas, Toby Pohlen, Zhitao Gong, Daniel Toyama, Cyprien de Masson d’Autume, Yujia Li, Tayfun Terzi, Vladimir Mikulik, Igor Babuschkin, Aidan Clark, Diego de Las Casas, Aurelia Guy, Chris Jones, James Bradbury, Matthew Johnson, Blake Hechtman, Laura Weidinger, Iason Gabriel, William Isaac, Ed Lockhart, Simon Osindero, Laura Rimell, Chris Dyer, Oriol Vinyals, Kareem Ayoub, Jeff Stanway, Lorrayne Bennett, Demis Hassabis, Koray Kavukcuoglu and Geoffrey Irving",8/12/2021,2021,"Scaling Language Models: Methods, Analysis & Insights from Training Gopher",https://deepmind.com/blog/article/language-modelling-at-scale,,,,2.80E+11,6.3E+23,,3.00E+11,,,,,,,,
RETRO-7B,Language,,DeepMind,Industry,,8/12/2021,2021,Improving language models by retrieving from trillions of tokens,,,,,7.50E+09,,,2.00E+12,,,,,,,,
GLIDE,Drawing,,OpenAI,Industry,,20/12/2021,2021,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,https://arxiv.org/abs/2112.10741,,,,3.50E+09,,,2.50E+08,,,,,,,,
LaMDA,Language,,Google,Industry,"Romal Thoppilan, Daniel De Freitas, Jamie Hall, Noam Shazeer, Apoorv Kulshreshtha, Heng-Tze Cheng, Alicia Jin, Taylor Bos, Leslie Baker, Yu Du, YaGuang Li, Hongrae Lee, Huaixiu Steven Zheng, Amin Ghafouri, Marcelo Menegali, Yanping Huang, Maxim Krikun, Dmitry Lepikhin, James Qin, Dehao Chen, Yuanzhong Xu, Zhifeng Chen, Adam Roberts, Maarten Bosma, Yanqi Zhou, Chung-Ching Chang, Igor Krivokon, Will Rusch, Marc Pickett, Kathleen Meier-Hellstern, Meredith Ringel Morris, Tulsee Doshi, Renelito Delos Santos, Toju Duke, Johnny Soraker, Ben Zevenbergen, Vinodkumar Prabhakaran, Mark Diaz, Ben Hutchinson, Kristen Olson, Alejandra Molina, Erin Hoffman-John, Josh Lee, Lora Aroyo, Ravi Rajakumar, Alena Butryna, Matthew Lamm, Viktoriya Kuzmina, Joe Fenton, Aaron Cohen, Rachel Bernstein, Ray Kurzweil, Blaise Aguera-Arcas, Claire Cui, Marian Croak, Ed Chi, Quoc Le",20/01/2022,2022,LaMDA: Language Models for Dialog Applications,https://arxiv.org/abs/2201.08239,,,,1.37E+11,3.6E+23,Infiniset,1.56E+09,,,,,,,,
InstructGPT,Language,,OpenAI,Industry,,27/01/2022,2022,,https://cdn.openai.com/papers/Training_language_models_to_follow_instructions_with_human_feedback.pdf,,,,,,,3.32E+04,,,,,,,,
AlphaCode,Language,Code generation,DeepMind,Industry,,02/02/2022,2022,Competition-Level Code Generation with AlphaCode,https://deepmind.com/blog/article/Competitive-programming-with-AlphaCode,,,,,,,,,,,,,,,
Statement Curriculum Learning,Language,Automated theorem proving,OpenAI,Industry,,02/02/2022,2022,Formal Mathematics Statement Curriculum Learning,https://openai.com/blog/formal-math/,,,,,,,,,,,,,,,
DeepNet,Language,Language modelling,Microsoft Research,Industry,"Hongyu Wang, Shuming Ma, Li Dong, Shaohan Huang, Dongdong Zhang, Furu Wei",01/03/2022,2022,"DeepNet: Scaling Transformers to 1,000 Layers",https://arxiv.org/abs/2203.00555,,,,1.20E+10,,,1.20E+10,,,,,,,,
GPT-NeoX-20B,Language,,EleutherAI,Research Collective,,Forthcoming,2022,,https://blog.eleuther.ai/announcing-20b/,,,,2.00E+10,9.3E+22,The Pile,,,,,,,,,
Sparse all-MLP,Language,,MetaAI,Industry,,14/04/2022,2022,Efficient Language Modeling with Sparse all-MLP,https://arxiv.org/pdf/2203.06850.pdf,0.00E+00,SOTA Improvement,,3.50E+09,2.2E+19,RoBERTa dataset,,,,20.41,,,,,
BaGuaLu,,,,,,2022,2022,BaGuaLu: Targeting Brain Scale Pretrained Models with over 37 Million Cores,https://keg.cs.tsinghua.edu.cn/jietang/publications/PPOPP22-Ma%20et%20al.-BaGuaLu%20Targeting%20Brain%20Scale%20Pretrained%20Models%20w.pdf,,,,1.45E+13,,,,,,,,,,,
